Número de empresas por comunidad autónoma España 2020-2021;;
Número total de empresas de España en 2020 y 2021, por comunidad autónoma ;;
;2020;2021
Cataluña;629876;622967
C. de Madrid;552027;547040
Andalucía;531045;531160
C. Valenciana;370645;368044
Galicia;197813;194657
Castilla y León;160199;157131
Canarias;152756;147999
País Vasco;143028;139824
Castilla - La Mancha;128713;127673
Islas Baleares;100022;98120
Región de Murcia;96764;95294
Aragón;90682;88602
Asturias;68433;67573
Extremadura;67336;66386
Navarra;44430;44334
Cantabria;38880;38636
La Rioja;22700;22357
Melilla;5234;5024
Ceuta;3845;3749
