Comunidad;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Andalucia;67,365;67,036;69,801;60,820;57,927;55,833;55,143;53,704;50,160;50,521;52,525;49,182;52,518;52,089;46,895
Aragon;21,802;21,195;22,053;20,895;17,875;16,157;19,175;17,130;15,353;16,523;16,569;15,361;17,199;15,568;14,844
Asturias;35,182;31,994;34,217;26,756;23,330;21,922;23,661;24,995;24,247;24,722;29,851;24,468;25,773;24,012;19,351
Baleares;10,854;10,821;10,974;11,014;10,726;10,608;10,193;9,535;8,558;8,278;8,514;8,727;9,319;9,430;8,619
Canarias;17,599;17,031;16,852;17,614;15,352;15,311;14,294;14,136;13,165;12,780;12,720;13,178;13,535;13,366;13,038
Cantabria;7,107;7,211;7,327;7,196;6,416;6,741;6,306;6,267;5,632;5,879;5,792;5,735;5,987;6,176;6,199
Castilla y Leon;45,249;42,139;42,941;39,275;30,710;26,390;33,942;34,163;28,780;31,185;32,819;30,309;30,306;27,395;24,308
Castilla La Mancha;26,751;27,166;28,557;25,708;23,253;22,274;21,452;20,413;18,348;17,910;18,153;17,748;18,053;18,636;18,891
Cataluna;57,500;56,233;57,141;53,359;49,999;49,288;46,725;44,313;41,027;41,285;42,011;43,307;43,956;43,669;43,991
Ceuta;612;735;778;671;561;509;435;421;333;312;313;337;383;407;394
C Valenciana;32,586;32,540;32,819;32,766;29,285;28,609;26,843;24,584;24,497;24,641;24,974;24,962;25,144;25,468;24,474
Extremadura;9,045;9,727;9,817;9,569;9,036;9,231;8,988;8,727;8,227;8,104;8,446;8,438;8,798;9,107;9,139
Galicia;36,534;35,524;36,809;30,969;28,737;27,290;28,962;31,749;28,593;28,893;29,726;28,465;30,234;29,711;22,434
La Rioja;3,968;4,041;3,915;3,696;2,794;2,661;2,399;2,492;2,105;1,960;2,110;2,281;2,523;2,308;2,411
Madrid;28,013;28,161;28,482;26,289;24,830;24,957;24,129;22,451;22,573;21,200;20,965;21,607;21,486;22,139;22,647
Melilla;326;366;388;394;369;380;369;438;382;339;373;410;486;444;503
Navarra;8,062;7,821;7,734;8,013;7,412;7,561;6,447;5,963;5,666;5,591;5,938;6,142;6,311;6,215;7,075
Pais Vasco;24,930;25,071;23,987;24,120;23,122;22,638;19,145;19,546;17,008;16,448;16,420;16,293;17,108;17,443;18,310
Murcia;8,590;10,444;11,736;13,012;10,585;9,514;8,980;9,290;8,873;9,038;8,777;8,516;9,618;9,668;11,006
